wave-guess,rp_arr,rp_arr_err,depth (ppt),depth err (ppt),wave_ers_dc
4.0764724999999995,0.1459538316443951,0.001548036502789358,21.30252097168043,0.45188371821499224,4.0996482372283936
4.036332499999999,0.14395842174851756,0.0007042898878382465,20.72402719232405,0.2027769214132688,4.057479619979858
3.9956907499999996,0.1443071556056304,0.00041991782898423614,20.824555158987625,0.12119429497761332,4.015311241149902
3.955049,0.14339645077548235,0.00036075333400132503,20.562542095005334,0.1034614954024243,3.9731435775756836
3.91440725,0.14378697850646135,0.00033664919998579215,20.67469518801758,0.09681154256514901,3.930975914001465
3.8737654999999998,0.14344808480687324,0.00038719369707368207,20.577353034759895,0.11108438858902467,3.8888081312179565
3.83312375,0.1440240770999704,0.00037549971633752907,20.742934784498217,0.1081620001936266,3.8466402292251587
3.7924819999999997,0.14431863973063408,0.000377792845906164,20.827869773700552,0.10904509924228528,3.804472327232361
3.7523419999999996,0.1443172718073106,0.0003749931428605847,20.827474941905166,0.10823597464817732,3.762304425239563
3.71170025,0.14426886661923366,0.0003566247513884499,20.81350587559823,0.10289969738235528,3.7201367616653442
3.6710585,0.1451287534438377,0.00033254682980830765,21.06235507616223,0.09652421374355948,3.677968978881836
3.6304167499999997,0.14568621094158,0.0003405281716908933,21.224472058514543,0.0992205181050201,3.635801315307617
3.589775,0.14681936112260732,0.0003363548551395902,21.55592480045058,0.09876680988416353,3.5936301946640015
3.5491332499999997,0.1463601276638254,0.0003274041544623238,21.421286969771266,0.09583782768954503,3.5514622926712036
3.5084915,0.14688357899605073,0.000353223053679969,21.574785778689073,0.103765332616856,3.509294629096985
3.4683515,0.14762874968080425,0.0003151559571400611,21.79424773231756,0.09305215981408871,3.467126965522766
3.42770975,0.14689765862222562,0.0003093877021233008,21.578922108691938,0.09089665809684694,3.4249593019485474
3.3870679999999997,0.1478356242171292,0.0003241373911884202,21.85537178766824,0.0958381071169038,3.3827916383743286
3.34642625,0.1479345486293619,0.0003208095695146907,21.88463067817304,0.09491763772427132,3.34062397480011
3.3057844999999997,0.14764177380894655,0.0003112951529381297,21.798093373452136,0.09192033711582555,3.2984559535980225
3.26514275,0.14705763553418214,0.00029553050513069824,21.625948168904348,0.08692003462548592,3.2562880516052246
3.224501,0.1471851220189173,0.0003232891082651224,21.663460143723576,0.09516669369477801,3.2141202688217163
3.184361,0.14727976099909082,0.0003085609718203611,21.691327999949316,0.09088957236669996,3.171952486038208
3.1437192499999997,0.1468332817188389,0.00032478151191039575,21.560012620323906,0.09537747047081913,3.1297848224639893
3.1030775,0.14676419709133634,0.00035411437426255117,21.539729547864617,0.1039426236342886,3.087615966796875
3.0624357499999997,0.14679448583818833,0.000336964167611143,21.548621072498072,0.0989289634607417,3.045446991920471
3.021794,0.14689090567414056,0.0003451917102423462,21.57693816976926,0.10141104589740746,3.0032793283462524
2.98115225,0.1466785640318955,0.00031694726444595666,21.514601146458865,0.09297873924554073,2.961111545562744
2.9405105,0.14663153298711795,0.0003029092252508834,21.50080646615226,0.0888320881089545,2.9189438819885254
2.9003704999999997,0.1477853079266955,0.00029828608955669066,21.84049723898821,0.0881646031907708,2.8767757415771484
2.8597287499999995,0.1478183014018178,0.0002894507197148042,21.850250229318647,0.08557222745555201,2.834607720375061
2.8190869999999997,0.1480546262343372,0.00030437289895608955,21.920172349389293,0.09012763158161105,2.7924399375915527
2.77844525,0.14893034769610913,0.0003338728941155947,22.180248464883956,0.09944761241388349,2.7502721548080444
2.7378035,0.1485529942968357,0.0003268717660564065,22.067992114555697,0.09711555919754794,2.708104372024536
2.69716175,0.14939255910794597,0.00032276059085640206,22.31813671682113,0.09643606129446121,2.6659367084503174
2.6565199999999995,0.1475143560072662,0.0003076971383510237,21.760485228238473,0.09077949041825989,2.62376868724823
2.6163799999999995,0.14669998885703853,0.0003395547625427598,21.520886730655228,0.09962535976275444,2.581600785255432
2.5757382499999997,0.147294488944451,0.0003427247824290626,21.695666473406998,0.10096294335297386,2.539431571960449
2.5350965,0.14698210774375595,0.000337176242096849,21.60373999679708,0.0991177494890276,2.4972639083862305
2.49445475,0.14631317673626912,0.00036732950083483466,21.40754568665872,0.10749029235218535,2.4550962448120117
2.453813,0.1469817780142115,0.0003820580202745511,21.603643068218947,0.11231113424908637,2.4129284620285034
2.4131712499999995,0.1452780553886137,0.000755381728349002,21.105713377497114,0.21948077714126618,2.370760440826416
